customer_id,age,gender,location,tenure_months,contract,payment_method,paperless_billing,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,streaming_movies,num_products,support_calls,complaints,satisfaction_score,churn
CUST00037,62,Female,Rural,32,Two year,Electronic check,0,91.44,2908.32,DSL,1,1,0,1,6,1,0,5,0
CUST00038,61,Female,Urban,3,One year,Bank transfer,0,38.91,100.57,DSL,0,0,1,0,6,3,0,2,0
CUST00039,32,Female,Rural,52,Month-to-month,Electronic check,0,73.69,3816.34,Fiber optic,0,1,0,0,6,2,0,5,0
CUST00040,50,Male,Suburban,26,Month-to-month,Electronic check,1,96.42,2394.88,Fiber optic,0,0,1,1,4,0,0,4,1
CUST00041,26,Male,Urban,68,Month-to-month,Mailed check,1,114.7,7804.48,Fiber optic,0,1,1,0,3,2,0,2,1
CUST00042,57,Male,Urban,62,Month-to-month,Mailed check,1,37.85,2320.33,No,0,1,1,0,5,0,3,4,1
CUST00043,54,Male,Urban,8,One year,Mailed check,0,50.43,310.1,No,1,1,0,1,1,1,2,1,1
CUST00044,36,Female,Urban,65,One year,Bank transfer,1,54.83,3546.45,Fiber optic,1,1,1,0,4,1,0,1,0
CUST00045,21,Female,Urban,69,Month-to-month,Electronic check,0,82.5,5673.45,Fiber optic,1,1,1,0,2,1,1,1,1
CUST00046,68,Male,Rural,55,Month-to-month,Electronic check,1,33.64,1913.96,DSL,0,0,1,1,3,2,0,1,1
CUST00047,41,Female,Urban,20,One year,Credit card,0,39.34,759.84,Fiber optic,0,0,0,0,4,3,1,4,1
CUST00048,64,Female,Suburban,49,Month-to-month,Electronic check,1,98.04,4837.35,Fiber optic,1,0,0,1,3,3,0,5,1
CUST00049,53,Male,Urban,63,Two year,Credit card,1,74.21,4744.37,No,0,0,1,1,2,1,2,4,0
CUST00050,58,Female,Rural,59,One year,Bank transfer,1,36.04,2094.96,No,1,0,0,1,2,1,2,2,0
CUST00051,57,Male,Urban,32,Month-to-month,Electronic check,1,58.84,1880.51,DSL,1,1,0,0,3,2,1,3,1
CUST00052,28,Male,Urban,51,Month-to-month,Electronic check,1,33.45,1792.38,No,0,1,0,0,1,2,1,1,0
CUST00053,36,Female,Suburban,28,One year,Mailed check,1,56.27,1587.01,Fiber optic,0,1,0,1,6,1,0,3,1
CUST00054,42,Female,Urban,19,Month-to-month,Bank transfer,0,60.02,1159.07,Fiber optic,1,0,1,0,6,1,1,4,0
CUST00055,43,Male,Suburban,49,Two year,Credit card,1,31.21,1508.93,No,1,1,1,0,5,1,1,4,0
CUST00056,20,Female,Urban,34,Month-to-month,Electronic check,0,25.98,917.67,DSL,0,1,0,0,2,3,0,5,0
CUST00057,46,Female,Suburban,17,Month-to-month,Credit card,0,108.16,1836.74,Fiber optic,0,0,1,1,5,0,0,3,0
CUST00058,26,Female,Suburban,48,Month-to-month,Electronic check,1,108.76,5128.87,No,1,1,1,1,4,5,1,4,1
CUST00059,56,Male,Suburban,24,One year,Electronic check,1,20.26,468.48,DSL,1,0,1,0,2,0,0,1,1
CUST00060,53,Female,Urban,43,Two year,Mailed check,0,84.12,3558.0,Fiber optic,0,0,1,0,3,2,1,4,0
CUST00061,65,Female,Urban,27,Two year,Credit card,1,29.37,798.6,No,1,0,1,1,1,3,1,1,0
CUST00062,56,Female,Urban,64,Month-to-month,Mailed check,0,101.01,6418.8,No,1,0,0,0,1,2,0,5,1
CUST00063,37,Female,Urban,62,Two year,Credit card,1,107.96,6717.43,DSL,0,0,1,0,3,2,2,1,1
CUST00064,68,Female,Urban,35,Month-to-month,Mailed check,1,81.66,2860.34,Fiber optic,0,1,1,0,1,1,0,1,1
CUST00065,39,Female,Rural,52,One year,Credit card,0,81.32,4166.24,DSL,0,0,0,0,6,2,1,2,0
CUST00066,34,Female,Suburban,13,Two year,Credit card,0,57.15,718.32,No,1,0,1,0,6,1,0,3,0
CUST00067,65,Female,Suburban,72,Month-to-month,Bank transfer,1,44.95,3267.43,Fiber optic,1,1,1,1,2,1,1,4,0
CUST00068,37,Male,Urban,16,Two year,Bank transfer,0,69.93,1176.28,Fiber optic,1,1,1,0,3,1,1,2,0
CUST00069,21,Male,Urban,63,Month-to-month,Mailed check,1,33.37,2057.19,No,1,0,1,0,5,3,1,4,1
CUST00070,42,Female,Suburban,61,Month-to-month,Credit card,1,87.22,5265.55,Fiber optic,1,1,1,1,2,1,1,4,1
CUST00071,59,Female,Urban,13,Month-to-month,Mailed check,0,67.01,968.68,Fiber optic,0,0,0,1,5,1,0,4,1
CUST00072,27,Female,Urban,1,Two year,Electronic check,1,37.76,37.27,Fiber optic,0,0,1,1,1,0,0,3,1
CUST00073,42,Male,Urban,54,Month-to-month,Credit card,1,78.83,4261.39,Fiber optic,1,1,0,0,4,4,1,5,1
CUST00074,24,Female,Suburban,63,Two year,Bank transfer,0,99.53,6233.42,Fiber optic,0,1,1,0,1,2,0,5,1
CUST00075,53,Male,Rural,52,Month-to-month,Mailed check,1,78.88,4112.52,No,1,1,0,1,5,0,0,4,0
CUST00076,42,Male,Urban,5,One year,Bank transfer,0,72.97,450.6,DSL,0,0,0,1,5,2,3,3,1
CUST00077,35,Male,Urban,47,One year,Mailed check,0,104.77,4936.91,Fiber optic,1,1,1,0,3,3,0,3,0
CUST00078,29,Male,Urban,29,Month-to-month,Mailed check,1,21.08,664.57,Fiber optic,1,0,1,1,6,2,1,3,1
CUST00079,47,Female,Urban,66,One year,Electronic check,1,81.67,5391.67,DSL,0,0,1,1,4,1,0,5,1
CUST00080,52,Female,Suburban,58,One year,Credit card,1,60.97,3484.97,Fiber optic,1,1,0,0,2,1,3,3,0
CUST00081,66,Male,Urban,58,Month-to-month,Bank transfer,1,39.36,2248.72,Fiber optic,1,1,1,1,4,1,0,4,0
CUST00082,40,Female,Suburban,30,Month-to-month,Credit card,1,117.96,3482.91,DSL,0,1,1,1,3,4,0,1,1
CUST00083,26,Male,Urban,24,Month-to-month,Electronic check,0,60.38,1460.01,Fiber optic,0,0,1,0,5,1,0,4,1
CUST00084,61,Male,Urban,60,Two year,Credit card,1,53.53,3272.99,DSL,1,1,1,1,4,2,1,3,0
CUST00085,50,Female,Rural,9,One year,Mailed check,1,36.9,340.15,Fiber optic,1,1,1,1,5,2,0,5,0
CUST00086,54,Male,Urban,8,Two year,Mailed check,1,119.78,942.85,DSL,1,1,1,1,2,1,1,1,0
CUST00087,23,Female,Suburban,5,One year,Credit card,1,105.61,488.57,DSL,0,0,1,1,1,3,1,5,1
CUST00088,34,Male,Urban,37,Two year,Bank transfer,1,27.0,1016.77,DSL,0,0,1,1,3,2,0,4,0
CUST00089,57,Male,Rural,6,Month-to-month,Credit card,1,76.58,397.57,Fiber optic,0,1,1,1,1,0,2,2,1
CUST00090,61,Female,Urban,42,Month-to-month,Bank transfer,0,34.74,1402.37,Fiber optic,1,1,1,0,3,2,0,2,1
CUST00091,40,Female,Urban,13,One year,Electronic check,0,91.58,1235.55,Fiber optic,1,1,0,0,3,3,1,1,1
CUST00092,59,Male,Suburban,65,Month-to-month,Mailed check,1,68.41,4432.76,DSL,1,0,1,1,4,2,1,1,0
CUST00093,61,Male,Urban,32,Month-to-month,Credit card,0,31.04,978.41,Fiber optic,0,1,0,0,5,0,1,1,1
CUST00094,38,Female,Urban,7,One year,Mailed check,0,75.7,521.45,Fiber optic,1,0,0,1,6,1,0,4,1
CUST00095,64,Male,Rural,50,Two year,Bank transfer,1,111.07,5589.79,No,0,1,1,0,1,4,1,2,0
CUST00096,32,Male,Suburban,25,One year,Electronic check,0,54.12,1361.28,DSL,0,0,1,1,3,1,0,2,1
CUST00097,30,Female,Suburban,19,Month-to-month,Mailed check,0,25.08,439.37,Fiber optic,0,1,1,1,5,2,0,3,0
CUST00098,53,Male,Suburban,48,Two year,Credit card,1,114.52,5461.61,Fiber optic,1,1,0,0,2,4,1,4,1
CUST00099,51,Female,Suburban,69,Month-to-month,Credit card,0,34.18,2348.66,Fiber optic,0,0,0,0,6,0,1,4,0
CUST00100,25,Male,Rural,71,Month-to-month,Electronic check,0,67.51,4808.32,Fiber optic,0,1,0,0,4,1,1,4,1
CUST00101,61,Female,Suburban,32,Two year,Electronic check,0,74.47,2381.26,DSL,1,0,1,1,3,1,0,5,0
CUST00102,28,Female,Urban,62,One year,Electronic check,1,43.71,2703.8,DSL,1,0,1,1,1,2,0,3,0
CUST00103,59,Male,Urban,16,Two year,Electronic check,1,37.74,606.15,No,0,0,1,1,4,0,1,3,1
CUST00104,18,Male,Suburban,61,Two year,Credit card,0,31.31,1908.1,Fiber optic,0,1,1,0,1,2,1,1,1
CUST00105,59,Male,Suburban,68,One year,Mailed check,1,27.0,1796.98,Fiber optic,1,0,0,1,2,2,0,4,0
CUST00106,58,Female,Urban,38,Month-to-month,Electronic check,0,70.81,2746.13,Fiber optic,0,0,0,0,3,0,0,4,1
CUST00107,58,Female,Urban,38,Month-to-month,Bank transfer,1,104.2,3935.48,DSL,0,1,1,1,1,2,1,4,1
CUST00108,52,Female,Urban,41,Two year,Credit card,0,32.68,1346.34,Fiber optic,1,0,1,0,1,1,0,2,0
CUST00109,42,Male,Suburban,6,Two year,Mailed check,1,90.06,437.34,Fiber optic,1,0,0,1,6,1,0,4,0
CUST00110,54,Male,Suburban,62,Month-to-month,Credit card,1,61.26,3787.36,DSL,0,0,0,0,3,4,0,2,1
CUST00111,32,Female,Urban,54,Month-to-month,Mailed check,1,23.52,1215.1,No,1,0,1,1,1,3,0,1,0
CUST00112,58,Female,Suburban,63,Month-to-month,Electronic check,0,73.6,4587.85,DSL,1,1,1,1,2,1,0,4,1
CUST00113,46,Female,Suburban,9,Month-to-month,Credit card,1,45.2,527.91,Fiber optic,0,1,1,1,4,2,0,3,0
CUST00114,41,Male,Rural,58,Two year,Electronic check,0,80.53,4683.22,DSL,1,1,0,1,6,0,0,4,0
CUST00115,44,Male,Urban,27,Month-to-month,Credit card,1,54.93,1544.41,No,1,0,1,1,3,2,2,4,0
CUST00116,47,Male,Rural,59,Month-to-month,Bank transfer,1,86.65,5155.12,No,0,1,1,0,2,2,2,5,1
CUST00117,19,Male,Suburban,72,Two year,Credit card,1,111.85,8102.36,DSL,0,0,0,1,3,1,1,4,0
CUST00118,25,Male,Suburban,64,Month-to-month,Electronic check,1,44.45,2834.85,Fiber optic,0,0,0,0,5,1,0,4,1
CUST00119,30,Female,Urban,66,Month-to-month,Mailed check,1,113.98,7603.0,No,1,1,0,0,1,2,1,5,1
CUST00120,23,Male,Suburban,9,Month-to-month,Credit card,1,40.43,406.2,Fiber optic,1,1,1,0,4,1,2,1,1
CUST00121,40,Female,Suburban,24,Month-to-month,Credit card,0,27.07,651.75,DSL,1,1,0,1,3,3,1,3,1
CUST00122,52,Female,Urban,22,Month-to-month,Credit card,0,39.27,877.1,Fiber optic,0,0,1,1,6,1,0,4,0
CUST00123,52,Female,Urban,37,Month-to-month,Electronic check,1,101.49,3748.29,Fiber optic,1,0,1,0,3,1,0,3,1
CUST00124,42,Female,Suburban,71,Month-to-month,Bank transfer,1,87.76,6233.57,DSL,1,1,1,1,4,1,2,2,1
CUST00125,62,Male,Suburban,50,Month-to-month,Mailed check,1,117.08,5851.82,No,0,1,1,1,5,0,0,5,0
CUST00126,47,Female,Urban,40,Month-to-month,Electronic check,1,90.98,3658.28,No,1,1,0,1,5,1,0,2,1
CUST00127,22,Male,Urban,58,Month-to-month,Mailed check,1,61.26,3640.08,DSL,0,0,1,1,1,2,2,3,1
CUST00128,57,Female,Urban,13,Two year,Bank transfer,0,109.24,1359.86,Fiber optic,1,1,1,1,3,1,0,2,0
CUST00129,47,Female,Rural,48,Month-to-month,Mailed check,0,115.81,5616.0,DSL,1,0,0,0,1,1,0,1,1
CUST00130,51,Female,Rural,37,Month-to-month,Electronic check,1,99.17,3650.88,No,1,0,0,1,1,2,2,2,1
CUST00131,47,Male,Urban,15,Two year,Credit card,0,75.66,1198.38,No,1,1,1,0,3,2,1,3,0
CUST00132,46,Male,Urban,47,Month-to-month,Credit card,0,102.58,4804.59,No,0,1,1,0,3,0,0,3,0
CUST00133,22,Male,Urban,61,Month-to-month,Mailed check,1,37.9,2332.54,DSL,1,1,0,1,5,0,0,5,1
CUST00134,47,Male,Urban,60,Two year,Credit card,0,110.04,6594.46,DSL,0,0,1,0,5,2,1,4,0
CUST00135,59,Female,Rural,61,One year,Credit card,1,119.96,7231.03,Fiber optic,1,0,1,0,6,1,2,2,0
CUST00136,33,Male,Suburban,59,Month-to-month,Electronic check,1,86.51,5191.04,DSL,1,1,0,0,2,1,1,4,0
CUST00137,49,Male,Urban,34,One year,Bank transfer,1,39.59,1298.92,DSL,0,1,0,0,4,1,0,4,0
CUST00138,19,Female,Urban,4,One year,Credit card,1,34.44,141.95,DSL,1,1,1,0,1,1,0,1,1
CUST00139,36,Male,Urban,70,Month-to-month,Bank transfer,1,115.94,8063.18,Fiber optic,0,1,1,0,3,1,0,5,0
CUST00140,40,Female,Suburban,33,Month-to-month,Electronic check,1,107.14,3468.77,Fiber optic,1,1,1,0,1,0,1,3,1
CUST00141,69,Male,Suburban,46,Month-to-month,Bank transfer,1,94.87,4353.77,No,0,1,1,1,6,3,0,5,0
CUST00142,29,Male,Suburban,2,Two year,Bank transfer,0,114.91,200.14,DSL,0,0,0,0,4,0,1,3,1
CUST00143,32,Female,Urban,64,Month-to-month,Bank transfer,0,70.34,4443.32,Fiber optic,0,0,0,1,1,3,2,1,1
CUST00144,39,Female,Rural,64,Month-to-month,Electronic check,1,108.77,6959.51,Fiber optic,0,1,0,1,3,2,0,2,1
CUST00145,69,Female,Urban,67,Month-to-month,Electronic check,1,36.28,2356.66,DSL,1,1,1,1,5,0,0,1,1
CUST00146,62,Female,Suburban,13,Two year,Credit card,0,38.28,503.91,Fiber optic,0,0,0,0,5,0,1,2,1
CUST00147,19,Male,Rural,61,Month-to-month,Mailed check,0,71.23,4338.66,No,0,1,1,1,5,3,1,1,1
CUST00148,30,Female,Urban,45,Month-to-month,Credit card,0,53.25,2272.23,DSL,1,0,1,0,4,0,1,1,0
CUST00149,60,Male,Rural,11,Month-to-month,Mailed check,0,63.25,669.59,No,0,1,1,1,6,0,0,2,0
CUST00150,21,Female,Urban,42,One year,Credit card,0,99.82,4215.86,Fiber optic,0,1,0,0,6,1,2,2,1
CUST00151,62,Male,Suburban,35,Month-to-month,Electronic check,1,25.34,833.72,Fiber optic,1,1,0,0,3,3,1,4,0
CUST00152,32,Female,Urban,46,Two year,Credit card,1,92.08,4261.27,No,1,0,1,0,6,3,0,3,0
CUST00153,65,Male,Urban,7,Month-to-month,Credit card,1,28.82,223.37,Fiber optic,0,1,0,1,5,0,1,5,1
CUST00154,33,Female,Urban,41,Month-to-month,Mailed check,1,104.75,4243.86,Fiber optic,0,0,1,0,1,3,1,1,1
CUST00155,40,Female,Urban,49,Month-to-month,Electronic check,0,40.19,1968.7,DSL,1,1,1,0,5,1,0,2,0
CUST00156,52,Female,Urban,52,Month-to-month,Credit card,1,93.49,4902.73,Fiber optic,1,0,1,0,2,1,1,5,1
CUST00157,24,Female,Urban,56,Month-to-month,Bank transfer,1,79.19,4390.82,No,1,0,1,1,6,1,1,5,1
CUST00158,46,Male,Suburban,46,One year,Bank transfer,1,58.56,2683.47,No,0,1,0,1,2,1,0,4,0
CUST00159,44,Male,Urban,51,Month-to-month,Mailed check,0,46.75,2441.76,Fiber optic,0,0,0,1,3,0,0,5,1
CUST00160,58,Female,Urban,7,One year,Credit card,1,25.75,137.37,No,1,1,1,1,6,1,2,1,0
CUST00161,69,Male,Rural,58,Month-to-month,Bank transfer,1,55.34,3232.68,Fiber optic,0,1,0,1,5,1,2,5,0
CUST00162,52,Male,Rural,27,One year,Mailed check,0,40.05,1027.39,Fiber optic,0,0,0,0,1,3,0,2,1
CUST00163,39,Male,Urban,40,Month-to-month,Mailed check,1,33.59,1335.55,DSL,0,0,1,1,6,1,0,5,0
CUST00164,39,Female,Urban,40,Month-to-month,Electronic check,0,93.85,3776.34,Fiber optic,1,0,0,1,3,2,0,1,1
CUST00165,39,Male,Suburban,71,Month-to-month,Credit card,1,41.25,2808.52,Fiber optic,1,1,1,1,4,2,0,5,0
CUST00166,60,Male,Suburban,24,Two year,Credit card,1,42.32,988.96,Fiber optic,1,0,0,1,1,5,3,5,0
CUST00167,34,Female,Urban,28,Two year,Mailed check,1,54.05,1534.87,Fiber optic,0,0,1,1,1,1,0,3,0
CUST00168,26,Male,Suburban,55,Two year,Electronic check,1,66.27,3656.14,No,0,0,0,1,3,2,0,2,1
CUST00169,35,Male,Urban,46,Two year,Electronic check,1,71.37,3256.9,No,1,0,1,1,3,0,0,1,0
CUST00170,19,Male,Urban,23,Month-to-month,Electronic check,1,86.45,1933.12,No,1,0,0,1,1,1,0,5,1
CUST00171,23,Female,Suburban,25,Month-to-month,Credit card,1,78.85,2002.67,No,1,0,0,0,1,0,1,5,0
CUST00172,22,Male,Suburban,60,Month-to-month,Bank transfer,1,68.17,4074.08,No,1,0,1,1,5,0,0,5,0
CUST00173,58,Female,Suburban,61,Two year,Mailed check,1,59.39,3650.06,Fiber optic,0,0,1,0,4,0,2,5,0
CUST00174,55,Male,Urban,11,Month-to-month,Electronic check,1,46.58,531.39,DSL,0,0,1,1,4,0,0,2,1
CUST00175,54,Male,Urban,29,Month-to-month,Electronic check,1,90.99,2616.34,No,1,1,1,0,4,2,1,4,1
CUST00176,42,Male,Urban,56,One year,Bank transfer,0,51.75,2951.63,DSL,0,0,1,0,6,1,0,5,0
CUST00177,55,Male,Urban,9,Month-to-month,Electronic check,1,104.96,914.93,Fiber optic,1,0,1,1,3,3,0,4,1
CUST00178,26,Male,Urban,14,One year,Mailed check,1,78.62,1160.2,DSL,1,1,1,1,6,4,0,2,0
CUST00179,64,Male,Suburban,12,Month-to-month,Credit card,1,83.39,1066.74,Fiber optic,0,1,1,1,2,1,1,3,1
CUST00180,44,Male,Suburban,39,One year,Bank transfer,1,70.88,2816.83,DSL,1,1,0,1,5,1,2,2,0
CUST00181,66,Female,Suburban,33,Two year,Credit card,1,112.86,3715.35,Fiber optic,0,1,1,1,4,2,1,4,0
CUST00182,25,Female,Urban,24,One year,Electronic check,0,62.16,1619.19,No,1,0,1,0,2,2,1,5,0
CUST00183,43,Female,Urban,10,Month-to-month,Electronic check,0,62.7,634.59,DSL,0,1,0,1,1,0,0,1,1
CUST00184,54,Female,Suburban,46,Month-to-month,Credit card,0,109.3,5039.85,DSL,0,1,0,0,1,1,0,3,1
CUST00185,43,Female,Urban,59,Month-to-month,Credit card,0,80.49,4747.81,No,1,1,0,1,4,1,0,2,1
CUST00186,41,Female,Rural,16,Month-to-month,Bank transfer,0,64.91,982.07,DSL,1,1,1,1,1,1,1,4,1
CUST00187,26,Female,Urban,48,One year,Bank transfer,1,46.22,2283.31,Fiber optic,1,1,1,1,4,6,0,3,1
CUST00188,37,Male,Suburban,58,Month-to-month,Electronic check,0,44.5,2552.38,No,1,0,1,0,5,0,0,3,1
CUST00189,30,Female,Rural,41,Month-to-month,Bank transfer,1,100.14,4151.72,Fiber optic,1,0,1,1,5,3,0,2,1
CUST00190,33,Male,Suburban,42,Month-to-month,Electronic check,1,47.95,2071.88,DSL,1,1,1,0,1,1,0,3,1
CUST00191,53,Female,Suburban,13,Two year,Electronic check,0,20.57,297.58,Fiber optic,1,1,1,0,1,2,0,3,0
CUST00192,50,Female,Suburban,69,Month-to-month,Mailed check,1,21.95,1479.95,No,0,0,1,1,2,0,0,4,0
CUST00193,49,Male,Urban,69,Month-to-month,Electronic check,0,117.84,8113.91,Fiber optic,0,0,0,0,3,2,1,2,1
CUST00194,36,Male,Suburban,52,Month-to-month,Electronic check,1,75.98,3817.11,Fiber optic,0,0,1,1,1,1,0,1,0
CUST00195,67,Male,Rural,65,Month-to-month,Electronic check,1,68.9,4472.68,DSL,1,0,1,1,3,1,0,1,0
CUST00196,22,Male,Rural,44,Two year,Mailed check,1,111.79,4958.9,No,0,1,1,0,1,1,0,5,0
CUST00197,35,Female,Urban,48,Month-to-month,Credit card,1,55.17,2636.28,DSL,0,0,1,1,1,3,0,3,0
CUST00198,24,Female,Urban,60,One year,Credit card,1,99.5,5940.5,DSL,0,0,1,1,3,1,1,5,0
CUST00199,35,Female,Suburban,3,One year,Electronic check,1,92.18,261.65,DSL,0,0,0,1,4,1,0,3,1
CUST00200,68,Female,Suburban,16,Two year,Electronic check,1,67.71,1144.13,No,1,1,1,1,3,2,0,2,1
CUST00201,37,Male,Urban,15,One year,Credit card,1,97.46,1459.18,Fiber optic,0,1,1,1,5,2,1,3,0
CUST00202,65,Male,Urban,46,One year,Electronic check,1,116.58,5455.58,DSL,1,0,1,0,2,0,1,4,0
CUST00203,43,Female,Urban,18,Month-to-month,Bank transfer,0,40.06,692.54,DSL,1,1,1,1,1,0,1,5,0
CUST00204,54,Female,Urban,29,Month-to-month,Electronic check,1,21.75,641.61,No,1,1,0,0,6,1,0,1,0
CUST00205,41,Female,Urban,36,One year,Bank transfer,1,102.15,3655.73,DSL,0,0,1,0,3,2,0,4,0
CUST00206,31,Male,Urban,54,One year,Electronic check,1,60.36,3363.16,Fiber optic,1,0,1,0,4,0,0,4,0
CUST00207,57,Female,Urban,38,Month-to-month,Bank transfer,1,74.44,2837.71,Fiber optic,0,0,1,0,5,1,1,4,1
CUST00208,68,Female,Rural,2,Month-to-month,Mailed check,0,42.25,190.9,Fiber optic,0,0,1,1,2,3,1,4,1
CUST00209,31,Male,Urban,50,Month-to-month,Electronic check,1,104.18,5187.99,Fiber optic,0,0,1,1,1,1,0,3,1
CUST00210,58,Male,Urban,31,Month-to-month,Mailed check,1,92.12,2932.1,No,0,0,1,0,6,3,0,1,1
CUST00211,31,Male,Urban,9,Month-to-month,Mailed check,1,115.34,1043.96,DSL,1,0,1,1,5,3,2,4,1
CUST00212,55,Male,Urban,47,Month-to-month,Credit card,0,67.53,3215.74,Fiber optic,0,0,1,1,4,1,1,2,0
CUST00213,59,Male,Rural,20,Month-to-month,Mailed check,0,117.66,2292.21,DSL,1,1,1,1,6,2,0,1,1
CUST00214,41,Female,Rural,34,One year,Electronic check,0,71.09,2434.48,Fiber optic,1,1,0,0,3,3,1,4,1
CUST00215,56,Female,Urban,70,One year,Mailed check,0,82.14,5696.34,Fiber optic,0,0,0,0,1,3,2,1,1
CUST00216,32,Male,Urban,18,One year,Electronic check,1,87.41,1586.23,Fiber optic,0,0,0,0,5,1,0,4,1
CUST00217,22,Female,Urban,64,One year,Credit card,0,68.98,4338.8,No,1,1,1,0,5,0,0,2,0
CUST00218,23,Female,Urban,34,Month-to-month,Credit card,1,76.28,2588.82,No,0,0,1,1,3,1,0,1,1
CUST00219,41,Male,Urban,68,Month-to-month,Electronic check,1,42.33,2933.22,DSL,0,0,1,1,2,4,0,5,0
CUST00220,64,Male,Urban,62,One year,Bank transfer,1,56.24,3514.26,Fiber optic,1,0,0,1,5,2,0,3,0
CUST00221,24,Male,Urban,60,Two year,Bank transfer,1,90.2,5350.3,Fiber optic,0,0,1,1,1,3,1,1,1
